Datum,Warengruppe,Umsatz,Wochentag,Kategorie
2013-11-01,1,100.182160485504,Friday,Brot
2013-11-02,1,149.172348030766,Saturday,Brot
2013-11-03,1,97.4532740046654,Sunday,Brot
2013-11-04,1,137.864260444157,Monday,Brot
2013-11-05,1,103.700267261952,Tuesday,Brot
2013-11-06,1,109.097001107423,Wednesday,Brot
2013-11-07,1,118.470603286455,Thursday,Brot
2013-11-08,1,132.796244239256,Friday,Brot
2013-11-09,1,99.9317959514759,Saturday,Brot
2013-11-10,1,108.561660295105,Sunday,Brot
2013-11-11,1,124.580485617569,Monday,Brot
2013-11-12,1,111.970870543294,Tuesday,Brot
2013-11-13,1,78.0382483442215,Wednesday,Brot
2013-11-14,1,121.180219705286,Thursday,Brot
2013-11-15,1,122.76929773359,Friday,Brot
2013-11-16,1,126.793397398979,Saturday,Brot
2013-11-17,1,74.3945185864517,Sunday,Brot
2013-11-18,1,129.109032642028,Monday,Brot
2013-11-19,1,106.906118646237,Tuesday,Brot
2013-11-20,1,124.324612351715,Wednesday,Brot
2013-11-21,1,144.359927455555,Thursday,Brot
2013-11-22,1,107.962731413831,Friday,Brot
2013-11-23,1,96.5196766761341,Saturday,Brot
2013-11-24,1,76.4120061231823,Sunday,Brot
2013-11-25,1,129.81992805086,Monday,Brot
2013-11-26,1,123.431703158233,Tuesday,Brot
2013-11-27,1,93.5321454303922,Wednesday,Brot
2013-11-28,1,128.842426194061,Thursday,Brot
2013-11-29,1,104.966463375073,Friday,Brot
2013-11-30,1,104.09003869481,Saturday,Brot
2013-12-01,1,68.0762231823542,Sunday,Brot
2013-12-02,1,113.931498716313,Monday,Brot
2013-12-03,1,94.7658652080226,Tuesday,Brot
2013-12-04,1,128.922855106228,Wednesday,Brot
2013-12-05,1,120.974699669869,Thursday,Brot
2013-12-06,1,112.015650593347,Friday,Brot
2013-12-07,1,121.408564819885,Saturday,Brot
2013-12-08,1,36.2650169585334,Sunday,Brot
2013-12-09,1,134.680550018524,Monday,Brot
2013-12-10,1,104.352034970751,Tuesday,Brot
2013-12-11,1,85.9079819233536,Wednesday,Brot
2013-12-12,1,88.2075449690532,Thursday,Brot
2013-12-13,1,85.5324935340658,Friday,Brot
2013-12-14,1,120.787742012371,Saturday,Brot
2013-12-15,1,71.5352172710921,Sunday,Brot
2013-12-16,1,120.791211521354,Monday,Brot
2013-12-17,1,74.6283250889016,Tuesday,Brot
2013-12-18,1,86.4115250991858,Wednesday,Brot
2013-12-19,1,101.589644453608,Thursday,Brot
2013-12-20,1,114.601001275823,Friday,Brot
2013-12-21,1,124.541759682586,Saturday,Brot
2013-12-22,1,41.7300439888931,Sunday,Brot
2013-12-23,1,183.608991270752,Monday,Brot
2013-12-24,1,220.330670230618,Tuesday,Brot
2013-12-27,1,152.367434643543,Friday,Brot
2013-12-29,1,131.267289010755,Sunday,Brot
2013-12-30,1,126.58984459848,Monday,Brot
2013-12-31,1,211.390838466052,Tuesday,Brot
2014-01-02,1,153.166492227541,Thursday,Brot
2014-01-03,1,109.484763536521,Friday,Brot
2014-01-04,1,116.250540066432,Saturday,Brot
2014-01-05,1,67.7899909491401,Sunday,Brot
2014-01-06,1,146.911067784297,Monday,Brot
2014-01-07,1,147.5457609484,Tuesday,Brot
2014-01-08,1,99.9068767897401,Wednesday,Brot
2014-01-09,1,113.541525918277,Thursday,Brot
2014-01-10,1,119.05554059635,Friday,Brot
2014-01-11,1,127.95986526115,Saturday,Brot
2014-01-12,1,83.4017498521773,Sunday,Brot
2014-01-13,1,103.994034974792,Monday,Brot
2014-01-14,1,166.347532764571,Tuesday,Brot
2014-01-15,1,139.042567223334,Wednesday,Brot
2014-01-16,1,117.779119691395,Thursday,Brot
2014-01-17,1,94.7938386484339,Friday,Brot
2014-01-18,1,102.633649837911,Saturday,Brot
2014-01-19,1,53.0014671833047,Sunday,Brot
2014-01-20,1,99.6819363621683,Monday,Brot
2014-01-21,1,116.784600007305,Tuesday,Brot
2014-01-22,1,102.344424741026,Wednesday,Brot
2014-01-23,1,105.740276056438,Thursday,Brot
2014-01-24,1,143.164448746188,Friday,Brot
2014-01-25,1,129.09233380561,Saturday,Brot
2014-01-26,1,65.4883238458282,Sunday,Brot
2014-01-27,1,177.797639286942,Monday,Brot
2014-01-28,1,63.9844736113181,Tuesday,Brot
2014-01-29,1,75.1156293987916,Wednesday,Brot
2014-01-30,1,140.794194214435,Thursday,Brot
2014-01-31,1,133.303478983532,Friday,Brot
2014-02-01,1,101.932146850505,Saturday,Brot
2014-02-02,1,76.7574943519772,Sunday,Brot
2014-02-03,1,154.323103655617,Monday,Brot
2014-02-04,1,130.284962020954,Tuesday,Brot
2014-02-05,1,128.512982776585,Wednesday,Brot
2014-02-06,1,93.2145715747619,Thursday,Brot
2014-02-07,1,99.7607356052368,Friday,Brot
2014-02-08,1,120.862739831777,Saturday,Brot
2014-02-09,1,57.0074894928223,Sunday,Brot
2014-02-10,1,154.183743327497,Monday,Brot
2014-02-11,1,93.60500318626259,Tuesday,Brot
2014-02-12,1,165.738384661521,Wednesday,Brot
2014-02-13,1,112.481302733138,Thursday,Brot
2014-02-14,1,127.922310495651,Friday,Brot
2014-02-15,1,169.517528839106,Saturday,Brot
2014-02-16,1,66.1488570531461,Sunday,Brot
2014-02-17,1,139.563931976797,Monday,Brot
2014-02-18,1,101.128808084497,Tuesday,Brot
2014-02-19,1,139.712963296062,Wednesday,Brot
2014-02-20,1,115.493305434483,Thursday,Brot
2014-02-21,1,195.749507104036,Friday,Brot
2014-02-22,1,138.333592943018,Saturday,Brot
2014-02-23,1,79.4422222430818,Sunday,Brot
2014-02-24,1,152.556733984074,Monday,Brot
2014-02-25,1,115.741936459404,Tuesday,Brot
2014-02-26,1,95.0173566075507,Wednesday,Brot
2014-02-27,1,142.599019478366,Thursday,Brot
2014-02-28,1,121.868073185287,Friday,Brot
2014-03-01,1,140.96854447309,Saturday,Brot
2014-03-02,1,78.304687930775,Sunday,Brot
2014-03-03,1,123.816845981151,Monday,Brot
2014-03-04,1,110.664379295042,Tuesday,Brot
2014-03-05,1,104.010771805795,Wednesday,Brot
2014-03-06,1,119.64957040592,Thursday,Brot
2014-03-07,1,115.297355656246,Friday,Brot
2014-03-08,1,116.679903321343,Saturday,Brot
2014-03-09,1,92.618539664325,Sunday,Brot
2014-03-10,1,150.516891177572,Monday,Brot
2014-03-11,1,151.221168841794,Tuesday,Brot
2014-03-12,1,91.0474158512995,Wednesday,Brot
2014-03-13,1,141.400369720196,Thursday,Brot
2014-03-14,1,123.912083680615,Friday,Brot
2014-03-15,1,137.683942432828,Saturday,Brot
2014-03-16,1,67.1675793738149,Sunday,Brot
2014-03-17,1,141.547905542998,Monday,Brot
2014-03-18,1,88.2250444509535,Tuesday,Brot
2014-03-19,1,99.6845823880711,Wednesday,Brot
2014-03-20,1,128.138232106811,Thursday,Brot
2014-03-21,1,104.8547456835,Friday,Brot
2014-03-22,1,130.851901605861,Saturday,Brot
2014-03-23,1,71.128447822127,Sunday,Brot
2014-03-24,1,174.642338237835,Monday,Brot
2014-03-25,1,130.828394911681,Tuesday,Brot
2014-03-26,1,164.073709880608,Wednesday,Brot
2014-03-27,1,217.595707302914,Thursday,Brot
2014-03-28,1,210.364589078685,Friday,Brot
2014-03-29,1,201.442576014825,Saturday,Brot
2014-03-30,1,77.0718729480323,Sunday,Brot
2014-03-31,1,165.782083579859,Monday,Brot
2014-04-01,1,143.934571968464,Tuesday,Brot
2014-04-02,1,145.793768476637,Wednesday,Brot
2014-04-03,1,199.334213779063,Thursday,Brot
2014-04-04,1,149.094869799179,Friday,Brot
2014-04-05,1,166.366651532902,Saturday,Brot
2014-04-06,1,79.4656989548114,Sunday,Brot
2014-04-07,1,175.863088463562,Monday,Brot
2014-04-08,1,104.711261779938,Tuesday,Brot
2014-04-09,1,168.945582350845,Wednesday,Brot
2014-04-10,1,153.689913112803,Thursday,Brot
2014-04-11,1,150.197974521935,Friday,Brot
2014-04-12,1,230.41912840806,Saturday,Brot
2014-04-13,1,106.9717520005,Sunday,Brot
2014-04-14,1,126.41212420811,Monday,Brot
2014-04-15,1,109.472548649702,Tuesday,Brot
2014-04-16,1,110.647041867212,Wednesday,Brot
2014-04-17,1,259.250121969818,Thursday,Brot
2014-04-19,1,290.428956680919,Saturday,Brot
2014-04-20,1,57.7509189177541,Sunday,Brot
2014-04-21,1,109.431179378053,Monday,Brot
2014-04-22,1,169.196248011103,Tuesday,Brot
2014-04-23,1,162.980101956576,Wednesday,Brot
2014-04-24,1,155.338780558714,Thursday,Brot
2014-04-25,1,103.620395874603,Friday,Brot
2014-04-26,1,143.988134045973,Saturday,Brot
2014-04-27,1,67.5791269771508,Sunday,Brot
2014-04-28,1,142.899118015523,Monday,Brot
2014-04-29,1,145.382373304754,Tuesday,Brot
2014-04-30,1,168.447583367336,Wednesday,Brot
2014-05-02,1,194.877300541007,Friday,Brot
2014-05-05,1,344.712427419033,Monday,Brot
2014-05-06,1,117.634364611904,Tuesday,Brot
2014-05-07,1,90.0459392081919,Wednesday,Brot
2014-05-08,1,149.299133313087,Thursday,Brot
2014-05-09,1,93.4116822522153,Friday,Brot
2014-05-10,1,123.724674602317,Saturday,Brot
2014-05-11,1,61.0065824620734,Sunday,Brot
2014-05-12,1,117.63724487723,Monday,Brot
2014-05-13,1,140.036281903001,Tuesday,Brot
2014-05-14,1,107.299783874075,Wednesday,Brot
2014-05-15,1,123.833393024816,Thursday,Brot
2014-05-16,1,182.247331664509,Friday,Brot
2014-05-17,1,128.405482365147,Saturday,Brot
2014-05-18,1,94.9265718873585,Sunday,Brot
2014-05-19,1,108.184039506908,Monday,Brot
2014-05-20,1,112.779561925048,Tuesday,Brot
2014-05-21,1,123.754439846218,Wednesday,Brot
2014-05-22,1,116.368035292474,Thursday,Brot
2014-05-23,1,129.753386763715,Friday,Brot
2014-05-24,1,117.223121200496,Saturday,Brot
2014-05-25,1,85.7502216285052,Sunday,Brot
2014-05-26,1,117.265384467109,Monday,Brot
2014-05-27,1,114.85034360851,Tuesday,Brot
2014-05-28,1,190.55318445032,Wednesday,Brot
2014-05-29,1,85.879848415963,Thursday,Brot
2014-05-30,1,187.239006431102,Friday,Brot
2014-05-31,1,171.347524831197,Saturday,Brot
2014-06-01,1,93.4027092149433,Sunday,Brot
2014-06-02,1,199.723160641356,Monday,Brot
2014-06-03,1,142.538025704362,Tuesday,Brot
2014-06-04,1,137.397470737802,Wednesday,Brot
2014-06-05,1,194.604241155943,Thursday,Brot
2014-06-06,1,181.64230467912,Friday,Brot
2014-06-07,1,199.282826637538,Saturday,Brot
2014-06-08,1,116.13410257794,Sunday,Brot
2014-06-09,1,110.83826883308,Monday,Brot
2014-06-10,1,183.918754774297,Tuesday,Brot
2014-06-11,1,149.446544671322,Wednesday,Brot
2014-06-12,1,139.828728810289,Thursday,Brot
2014-06-13,1,181.076990157327,Friday,Brot
2014-06-14,1,198.692957520375,Saturday,Brot
2014-06-15,1,54.0249702204705,Sunday,Brot
2014-06-16,1,162.607017592405,Monday,Brot
2014-06-17,1,124.562218396083,Tuesday,Brot
2014-06-18,1,137.865777862035,Wednesday,Brot
2014-06-19,1,129.894799169399,Thursday,Brot
2014-06-20,1,175.728748384125,Friday,Brot
2014-06-21,1,162.410672754329,Saturday,Brot
2014-06-22,1,99.6276132843513,Sunday,Brot
2014-06-23,1,130.997404965594,Monday,Brot
2014-06-24,1,119.068455962972,Tuesday,Brot
2014-06-25,1,114.248639971521,Wednesday,Brot
2014-06-26,1,139.644833904018,Thursday,Brot
2014-06-27,1,149.199619823898,Friday,Brot
2014-06-28,1,234.368963456298,Saturday,Brot
2014-06-29,1,99.024824945212,Sunday,Brot
2014-06-30,1,171.873065791742,Monday,Brot
2014-07-01,1,79.4657766414776,Tuesday,Brot
2014-07-02,1,130.353573545155,Wednesday,Brot
2014-07-03,1,158.210589058586,Thursday,Brot
2014-07-04,1,112.903849016111,Friday,Brot
2014-07-05,1,150.979319145129,Saturday,Brot
2014-07-06,1,84.8042447667398,Sunday,Brot
2014-07-07,1,142.241358541915,Monday,Brot
2014-07-08,1,109.606492090567,Tuesday,Brot
2014-07-09,1,116.752191041734,Wednesday,Brot
2014-07-10,1,132.724706258412,Thursday,Brot
2014-07-11,1,180.711513583786,Friday,Brot
2014-07-12,1,142.331090508761,Saturday,Brot
2014-07-13,1,80.4531140833734,Sunday,Brot
2014-07-14,1,153.698550894933,Monday,Brot
2014-07-15,1,157.385041577792,Tuesday,Brot
2014-07-16,1,158.680478444563,Wednesday,Brot
2014-07-17,1,160.5229296933,Thursday,Brot
2014-07-18,1,119.811042532772,Friday,Brot
2014-07-19,1,144.785544515647,Saturday,Brot
2014-07-20,1,111.990298336233,Sunday,Brot
2014-07-21,1,137.703002341753,Monday,Brot
2014-07-22,1,152.134170467115,Tuesday,Brot
2014-07-23,1,144.39193026197,Wednesday,Brot
2014-07-24,1,163.309889093623,Thursday,Brot
2014-07-25,1,145.131799090901,Friday,Brot
2014-07-26,1,171.321523510186,Saturday,Brot
2014-07-27,1,90.1816334935297,Sunday,Brot
2014-07-28,1,157.813837411395,Monday,Brot
2014-07-29,1,144.455051194281,Tuesday,Brot
2014-07-30,1,137.868369774792,Wednesday,Brot
2014-07-31,1,174.333709830106,Thursday,Brot
2014-08-01,1,153.966193788182,Friday,Brot
2014-08-02,1,189.444073316264,Saturday,Brot
2014-08-03,1,75.380692980006,Sunday,Brot
2014-08-04,1,190.631341627449,Monday,Brot
2014-08-05,1,158.481203915988,Tuesday,Brot
2014-08-06,1,140.003286627353,Wednesday,Brot
2014-08-07,1,172.493580385229,Thursday,Brot
2014-08-08,1,194.226703064487,Friday,Brot
2014-08-09,1,216.790146013299,Saturday,Brot
2014-08-10,1,98.5919510239083,Sunday,Brot
2014-08-11,1,186.843287518034,Monday,Brot
2014-08-12,1,155.633056469153,Tuesday,Brot
2014-08-13,1,129.960879412869,Wednesday,Brot
2014-08-14,1,162.312059256018,Thursday,Brot
2014-08-15,1,232.668688554884,Friday,Brot
2014-08-16,1,229.321098599377,Saturday,Brot
2014-08-18,1,204.943578961263,Monday,Brot
2014-08-19,1,157.516513226105,Tuesday,Brot
2014-08-20,1,175.194857952978,Wednesday,Brot
2014-08-21,1,177.59614021373,Thursday,Brot
2014-08-22,1,196.422158119718,Friday,Brot
2014-08-23,1,226.633053661476,Saturday,Brot
2014-08-24,1,151.925968486667,Sunday,Brot
2014-08-25,1,202.245341655226,Monday,Brot
2014-08-26,1,143.842260185182,Tuesday,Brot
2014-08-27,1,141.124540763453,Wednesday,Brot
2014-08-28,1,147.59794847913,Thursday,Brot
2014-08-29,1,119.001507763099,Friday,Brot
2014-08-30,1,162.81504486744,Saturday,Brot
2014-08-31,1,136.994199378168,Sunday,Brot
2014-09-01,1,192.583927536972,Monday,Brot
2014-09-02,1,93.4032112729648,Tuesday,Brot
2014-09-03,1,128.100882145258,Wednesday,Brot
2014-09-04,1,118.732274802375,Thursday,Brot
2014-09-05,1,168.798990410438,Friday,Brot
2014-09-06,1,165.47761720592,Saturday,Brot
2014-09-07,1,48.9648440975496,Sunday,Brot
2014-09-08,1,177.361261107402,Monday,Brot
2014-09-09,1,128.017374563252,Tuesday,Brot
2014-09-10,1,173.546299647139,Wednesday,Brot
2014-09-11,1,165.169051552497,Thursday,Brot
2014-09-12,1,130.3659563908,Friday,Brot
2014-09-13,1,152.497010928097,Saturday,Brot
2014-09-14,1,60.5960658536456,Sunday,Brot
2014-09-15,1,154.556691403417,Monday,Brot
2014-09-16,1,106.657464651771,Tuesday,Brot
2014-09-17,1,140.230426469916,Wednesday,Brot
2014-09-18,1,168.767383241785,Thursday,Brot
2014-09-19,1,140.144453118865,Friday,Brot
2014-09-20,1,197.959086294477,Saturday,Brot
2014-09-21,1,80.5859142164798,Sunday,Brot
2014-09-22,1,134.865103794751,Monday,Brot
2014-09-23,1,140.774695330895,Tuesday,Brot
2014-09-24,1,108.711123767423,Wednesday,Brot
2014-09-25,1,108.067086651751,Thursday,Brot
2014-09-26,1,117.377429960871,Friday,Brot
2014-09-27,1,139.171163845637,Saturday,Brot
2014-09-28,1,60.4829614839036,Sunday,Brot
2014-09-29,1,146.640779180328,Monday,Brot
2014-09-30,1,125.317010604255,Tuesday,Brot
2014-10-01,1,159.473253138624,Wednesday,Brot
2014-10-02,1,183.411275500045,Thursday,Brot
2014-10-03,1,62.591191559266,Friday,Brot
2014-10-04,1,194.365187583031,Saturday,Brot
2014-10-05,1,82.1342445154272,Sunday,Brot
2014-10-06,1,178.335670094664,Monday,Brot
2014-10-07,1,141.858863346968,Tuesday,Brot
2014-10-08,1,134.873921318631,Wednesday,Brot
2014-10-09,1,134.324856819578,Thursday,Brot
2014-10-10,1,132.317020180874,Friday,Brot
2014-10-11,1,181.071063711796,Saturday,Brot
2014-10-12,1,97.9850226394533,Sunday,Brot
2014-10-13,1,129.878383258938,Monday,Brot
2014-10-14,1,175.011253800233,Tuesday,Brot
2014-10-15,1,206.8382090708,Wednesday,Brot
2014-10-16,1,147.570549356915,Thursday,Brot
2014-10-17,1,144.357853437456,Friday,Brot
2014-10-18,1,158.152130377889,Saturday,Brot
2014-10-19,1,58.8534096103563,Sunday,Brot
2014-10-20,1,158.382558902343,Monday,Brot
2014-10-21,1,125.363981222897,Tuesday,Brot
2014-10-22,1,127.765051280508,Wednesday,Brot
2014-10-23,1,144.21773201944,Thursday,Brot
2014-10-24,1,203.173639154115,Friday,Brot
2014-10-25,1,191.425316581712,Saturday,Brot
2014-10-26,1,116.487886781866,Sunday,Brot
2014-10-27,1,121.416970836256,Monday,Brot
2014-10-28,1,136.094268676769,Tuesday,Brot
2014-10-29,1,103.569554336818,Wednesday,Brot
2014-10-30,1,122.18216764664,Thursday,Brot
2014-10-31,1,132.486279254048,Friday,Brot
2014-11-01,1,142.507059241702,Saturday,Brot
2014-11-02,1,99.288586999622,Sunday,Brot
2014-11-03,1,137.822879577546,Monday,Brot
2014-11-04,1,103.123747563607,Tuesday,Brot
2014-11-05,1,113.078967477055,Wednesday,Brot
2014-11-06,1,138.399464430445,Thursday,Brot
2014-11-07,1,125.3258349714,Friday,Brot
2014-11-08,1,165.663474985222,Saturday,Brot
2014-11-09,1,118.446930009839,Sunday,Brot
2014-11-10,1,132.450933802593,Monday,Brot
2014-11-11,1,122.885078853966,Tuesday,Brot
2014-11-12,1,95.3481999188746,Wednesday,Brot
2014-11-13,1,143.750350209673,Thursday,Brot
2014-11-14,1,133.77429991274,Friday,Brot
2014-11-15,1,157.956829595601,Saturday,Brot
2014-11-16,1,69.2794517983636,Sunday,Brot
2014-11-17,1,138.752246637463,Monday,Brot
2014-11-18,1,134.68843263499,Tuesday,Brot
2014-11-19,1,131.262024072649,Wednesday,Brot
2014-11-20,1,131.314789763352,Thursday,Brot
2014-11-21,1,142.895603194534,Friday,Brot
2014-11-22,1,92.6616360079896,Saturday,Brot
2014-11-23,1,88.8532704507342,Sunday,Brot
2014-11-24,1,135.495058395216,Monday,Brot
2014-11-25,1,125.776456029191,Tuesday,Brot
2014-11-26,1,98.5421347532514,Wednesday,Brot
2014-11-27,1,114.36674051771,Thursday,Brot
2014-11-28,1,125.770265298128,Friday,Brot
2014-11-29,1,143.276224653699,Saturday,Brot
2014-11-30,1,70.5238191319592,Sunday,Brot
2014-12-01,1,128.454115308343,Monday,Brot
2014-12-02,1,154.242632883405,Tuesday,Brot
2014-12-03,1,133.99080245511,Wednesday,Brot
2014-12-04,1,124.167763102648,Thursday,Brot
2014-12-05,1,83.5104305885102,Friday,Brot
2014-12-06,1,127.894073901772,Saturday,Brot
2014-12-07,1,75.5129227390682,Sunday,Brot
2014-12-08,1,102.678761832615,Monday,Brot
2014-12-09,1,110.476546068652,Tuesday,Brot
2014-12-10,1,99.9187171842705,Wednesday,Brot
2014-12-11,1,109.754570057738,Thursday,Brot
2014-12-12,1,109.142671748118,Friday,Brot
2014-12-13,1,124.956684401136,Saturday,Brot
2014-12-14,1,102.80557310108,Sunday,Brot
2014-12-15,1,96.3136936339829,Monday,Brot
2014-12-16,1,97.7685842370004,Tuesday,Brot
2014-12-17,1,102.856835442046,Wednesday,Brot
2014-12-18,1,112.769700687238,Thursday,Brot
2014-12-19,1,100.434605432296,Friday,Brot
2014-12-20,1,92.9765497836537,Saturday,Brot
2014-12-21,1,74.1776353738615,Sunday,Brot
2014-12-22,1,166.062608421996,Monday,Brot
2014-12-23,1,184.21718934313,Tuesday,Brot
2014-12-24,1,289.724706873301,Wednesday,Brot
2014-12-27,1,133.160219555693,Saturday,Brot
2014-12-28,1,65.5011765409885,Sunday,Brot
2014-12-29,1,159.353174871792,Monday,Brot
2014-12-30,1,171.900364677079,Tuesday,Brot
2014-12-31,1,253.25502096677,Wednesday,Brot
2015-01-02,1,171.436480362582,Friday,Brot
2015-01-03,1,146.725466464595,Saturday,Brot
2015-01-04,1,69.2618750164446,Sunday,Brot
2015-01-05,1,159.498680849924,Monday,Brot
2015-01-06,1,116.621821467299,Tuesday,Brot
2015-01-07,1,116.046870294295,Wednesday,Brot
2015-01-08,1,88.9219763738156,Thursday,Brot
2015-01-09,1,89.5158553261206,Friday,Brot
2015-01-10,1,67.954839483437,Saturday,Brot
2015-01-11,1,102.503556455298,Sunday,Brot
2015-01-12,1,122.717043089708,Monday,Brot
2015-01-13,1,86.441812930424,Tuesday,Brot
2015-01-14,1,72.7918398175921,Wednesday,Brot
2015-01-15,1,93.7671799134285,Thursday,Brot
2015-01-16,1,131.913950068001,Friday,Brot
